date,store_id,store_region,sku_id,category,units_sold,revenue,promo_flag,promo_type,price,inventory_level,store_size,holiday_flag
2022-06-08,5,East,133,Beverages,5,24.950000000000003,0,,4.99,393,Small,0
2022-07-11,5,North,121,Snacks,10,98.6,0,,9.86,896,Medium,0
2022-10-05,9,North,121,Beverages,9,27.18,0,,3.02,803,Medium,0
2022-08-07,8,South,120,Snacks,16,40.576,1,FlashSale,2.536,726,Medium,1
2022-03-13,2,East,121,Personal Care,9,65.61,0,,7.29,226,Small,1
2022-07-28,3,North,104,Household,15,55.80000000000001,1,BuyOneGetOne,3.7200000000000006,430,Small,0
2022-02-02,6,East,148,Personal Care,21,125.16000000000003,1,Discount,5.960000000000001,888,Large,0
2022-03-02,5,North,120,Personal Care,17,129.20000000000002,1,FlashSale,7.6000000000000005,193,Large,0
2022-09-06,5,North,108,Household,18,154.44,0,,8.58,149,Medium,0
2022-09-11,8,East,113,Dairy,9,24.660000000000004,0,,2.74,280,Medium,1
2022-10-20,8,South,110,Personal Care,12,84.36,0,,7.03,868,Large,0
2022-10-16,10,North,123,Personal Care,6,20.759999999999998,0,,3.46,486,Medium,1
2022-08-31,5,East,129,Household,13,47.19,0,,3.63,908,Large,0
2022-05-17,6,East,123,Beverages,12,59.64,0,,4.97,681,Medium,0
2022-01-07,7,North,137,Personal Care,15,141.9,0,,9.46,633,Small,0
2022-09-11,8,East,136,Personal Care,21,139.94400000000002,1,Discount,6.664000000000001,936,Large,1
2022-05-05,10,South,107,Household,13,99.84,1,Discount,7.68,474,Large,0
2022-05-07,6,South,134,Personal Care,11,71.94,0,,6.54,937,Medium,1
2022-03-06,3,South,128,Beverages,14,40.18,0,,2.87,441,Medium,1
2022-05-31,9,North,103,Snacks,10,92.8,0,,9.28,532,Large,0
2022-01-28,3,South,129,Dairy,9,73.53,0,,8.17,615,Medium,0
2022-03-05,9,East,147,Dairy,11,42.239999999999995,0,,3.84,201,Small,1
2022-10-17,6,East,140,Beverages,15,127.2,0,,8.48,579,Medium,0
2022-12-20,7,East,120,Snacks,14,51.800000000000004,0,,3.7,177,Medium,0
2022-01-04,8,East,136,Beverages,15,139.95,0,,9.33,111,Large,0
2022-08-16,8,South,148,Beverages,6,26.880000000000003,0,,4.48,369,Medium,0
2022-12-04,8,East,108,Personal Care,13,41.34,0,,3.18,965,Medium,1
2022-11-19,4,North,119,Household,6,43.74,0,,7.29,460,Medium,1
2022-01-17,6,East,122,Snacks,24,175.29600000000002,1,,7.304000000000001,526,Medium,0
2022-05-27,6,South,119,Household,14,91.83999999999999,0,,6.56,763,Medium,0
2022-04-11,9,North,132,Snacks,9,75.87,0,,8.43,110,Medium,0
2022-05-04,6,North,130,Personal Care,26,89.02400000000002,1,BuyOneGetOne,3.4240000000000004,902,Small,0
2022-02-25,4,East,148,Dairy,14,118.29999999999998,0,,8.45,720,Small,0
2022-08-16,4,South,150,Household,6,32.88,0,,5.48,398,Small,0
2022-04-13,4,South,113,Personal Care,20,122.56,1,,6.128,853,Large,0
2022-10-19,10,South,144,Beverages,11,79.75,0,,7.25,886,Small,0
2022-01-31,2,South,139,Beverages,24,182.976,1,BuyOneGetOne,7.624,912,Medium,0
2022-11-22,8,South,121,Beverages,6,38.519999999999996,0,,6.42,722,Large,0
2022-11-08,6,South,104,Household,6,28.98,0,,4.83,426,Large,0
2022-04-01,9,North,128,Dairy,19,127.83200000000001,1,FlashSale,6.728000000000001,435,Small,0
2022-10-15,1,North,150,Household,8,74.88,0,,9.36,225,Large,1
2022-05-12,1,North,110,Snacks,11,42.019999999999996,0,,3.82,769,Small,0
2022-01-10,1,North,143,Snacks,9,53.910000000000004,0,,5.99,593,Small,0
2022-10-12,9,East,104,Dairy,8,46.8,0,,5.85,610,Small,0
2022-10-27,6,North,112,Snacks,11,61.71,0,,5.61,670,Small,0
2022-12-04,8,East,144,Beverages,8,73.2,0,,9.15,984,Large,1
2022-07-18,3,North,108,Beverages,22,167.904,1,,7.632,260,Large,0
2022-02-09,7,East,109,Household,12,106.56,0,,8.88,915,Small,0
2022-09-30,1,South,111,Snacks,8,60.4,0,,7.55,899,Large,0
2022-02-21,9,North,143,Snacks,11,68.09,0,,6.19,319,Small,0
2022-04-16,2,North,142,Household,18,137.952,1,,7.664000000000001,948,Large,1
2022-10-06,9,North,117,Snacks,19,132.544,1,FlashSale,6.976000000000001,120,Small,0
2022-07-27,5,East,109,Snacks,13,29.9,0,,2.3,183,Small,0
2022-10-13,2,East,138,Dairy,5,22.3,0,,4.46,841,Medium,0
2022-07-01,9,North,138,Personal Care,10,44.800000000000004,0,,4.48,286,Medium,0
2022-06-15,10,South,114,Beverages,12,60.84,0,,5.07,995,Large,0
2022-08-17,6,North,129,Household,9,59.31,0,,6.59,820,Large,0
2022-06-28,3,North,118,Beverages,19,127.68,1,FlashSale,6.720000000000001,509,Small,0
2022-11-14,5,South,145,Household,20,36.0,1,,1.8,157,Small,0
2022-02-02,6,North,108,Snacks,12,114.96000000000001,0,,9.58,556,Small,0
2022-07-28,9,East,119,Beverages,11,105.82,0,,9.62,562,Medium,0
2022-11-09,5,East,132,Household,21,127.84800000000001,1,BuyOneGetOne,6.088000000000001,104,Large,0
2022-01-16,5,North,139,Personal Care,8,72.96,0,,9.12,882,Large,1
2022-06-13,4,East,126,Snacks,15,96.9,0,,6.46,859,Large,0
2022-03-17,9,South,139,Personal Care,5,17.8,0,,3.56,987,Small,0
2022-05-21,6,East,111,Household,16,60.64,0,,3.79,559,Large,1
2022-12-23,7,South,123,Snacks,10,89.60000000000001,0,,8.96,709,Medium,0
2022-01-08,9,North,127,Dairy,9,29.339999999999996,0,,3.26,475,Medium,1
2022-10-17,10,East,122,Beverages,8,17.04,0,,2.13,184,Medium,0
2022-05-05,4,North,127,Household,13,62.529999999999994,0,,4.81,251,Small,0
2022-02-26,9,East,145,Personal Care,20,46.88000000000001,1,,2.3440000000000003,724,Medium,1
2022-04-27,8,North,102,Personal Care,13,92.3,0,,7.1,684,Small,0
2022-02-22,5,North,111,Household,15,106.95,0,,7.13,692,Medium,0
2022-04-23,4,East,124,Personal Care,10,84.60000000000001,0,,8.46,617,Small,1
2022-08-29,1,South,144,Household,19,150.17600000000002,1,,7.904000000000001,516,Medium,0
2022-06-23,8,South,110,Beverages,11,96.25,0,,8.75,893,Small,0
2022-03-27,7,North,108,Snacks,9,49.589999999999996,0,,5.51,293,Large,1
2022-03-18,4,East,118,Personal Care,23,131.92800000000003,1,FlashSale,5.736000000000001,999,Medium,0
2022-01-24,2,North,120,Personal Care,7,69.93,0,,9.99,563,Medium,0
2022-06-04,10,South,131,Dairy,11,46.419999999999995,0,,4.22,894,Small,1
2022-02-28,7,East,136,Household,7,62.44,0,,8.92,486,Small,0
2022-05-20,9,East,116,Household,10,51.3,0,,5.13,582,Small,0
2022-08-01,1,South,137,Personal Care,5,11.299999999999999,0,,2.26,195,Medium,0
2022-03-18,2,East,140,Dairy,10,32.0,1,BuyOneGetOne,3.2,115,Medium,0
2022-09-26,1,East,150,Household,8,59.52,0,,7.44,438,Medium,0
2022-02-09,10,South,131,Beverages,8,19.52,0,,2.44,825,Medium,0
2022-07-27,9,South,145,Dairy,8,54.56,0,,6.82,911,Medium,0
2022-09-10,3,East,144,Beverages,21,133.22400000000002,1,FlashSale,6.344,285,Small,1
2022-11-19,2,North,103,Dairy,11,81.07000000000001,0,,7.37,177,Large,1
2022-12-28,8,East,117,Dairy,10,20.8,0,,2.08,976,Medium,0
2022-03-22,2,South,137,Personal Care,15,56.55,0,,3.77,996,Medium,0
2022-05-10,5,North,107,Dairy,25,117.40000000000002,1,,4.696000000000001,233,Medium,0
2022-01-03,2,East,121,Household,14,125.72,0,,8.98,415,Large,0
2022-10-10,7,North,140,Beverages,10,28.599999999999998,0,,2.86,732,Small,0
2022-10-26,4,East,109,Household,5,29.8,0,,5.96,800,Large,0
2022-02-19,9,East,127,Dairy,13,27.95,0,,2.15,268,Small,1
2022-09-16,2,South,112,Household,22,88.70400000000001,1,BuyOneGetOne,4.032,236,Medium,0
2022-12-03,5,South,121,Dairy,17,123.76,0,,7.28,230,Small,1
2022-10-05,8,East,149,Personal Care,7,65.73,0,,9.39,650,Large,0
2022-04-13,1,South,114,Dairy,11,85.69,0,,7.79,318,Small,0
2022-01-11,2,North,124,Dairy,4,29.68,0,,7.42,820,Large,0
2022-02-24,4,South,143,Snacks,10,35.099999999999994,0,,3.51,753,Medium,0
2022-09-30,6,North,119,Dairy,6,20.34,0,,3.39,304,Medium,0
2022-03-11,7,East,109,Household,11,33.769999999999996,0,,3.07,312,Small,0
2022-06-01,7,South,139,Beverages,17,115.19200000000001,1,BuyOneGetOne,6.776000000000001,872,Large,0
2022-01-23,6,South,107,Snacks,16,42.4,0,,2.65,931,Medium,1
2022-03-08,3,North,143,Dairy,12,41.28,0,,3.44,951,Small,0
2022-09-09,9,South,117,Dairy,6,26.82,0,,4.47,659,Small,0
2022-07-29,8,South,111,Household,13,91.91,0,,7.07,485,Small,0
2022-09-20,9,North,123,Household,5,14.5,0,,2.9,159,Large,0
2022-09-23,4,North,101,Beverages,12,97.44,0,,8.12,381,Medium,0
2022-04-24,4,South,124,Household,8,41.52,0,,5.19,896,Small,1
2022-07-01,4,South,144,Dairy,17,141.44,0,,8.32,586,Small,0
2022-08-18,10,East,147,Personal Care,11,105.71,0,,9.61,692,Small,0
2022-12-22,6,North,122,Personal Care,5,48.35,0,,9.67,398,Small,0
2022-08-07,2,East,134,Personal Care,10,31.7,0,,3.17,385,Small,1
2022-06-21,6,South,107,Beverages,22,175.12,1,,7.96,123,Small,0
2022-04-01,9,North,136,Dairy,9,73.17,0,,8.13,242,Large,0
2022-08-15,4,East,136,Household,9,26.910000000000004,0,,2.99,936,Medium,0
2022-06-10,2,East,103,Beverages,10,60.0,0,,6.0,345,Medium,0
2022-09-02,2,South,138,Personal Care,5,30.5,0,,6.1,486,Small,0
2022-03-24,6,East,150,Beverages,11,90.19999999999999,0,,8.2,438,Medium,0
2022-11-18,5,North,146,Snacks,8,30.96,0,,3.87,310,Small,0
2022-04-13,7,East,122,Household,2,15.24,0,,7.62,871,Large,0
2022-06-27,3,South,117,Household,22,59.84,1,FlashSale,2.72,509,Large,0
2022-03-23,5,East,109,Beverages,8,25.76,0,,3.22,182,Medium,0
2022-03-02,5,North,105,Household,12,34.32,0,,2.86,879,Small,0
2022-12-26,1,South,127,Snacks,29,73.544,1,FlashSale,2.536,986,Medium,0
2022-05-19,9,South,104,Personal Care,3,18.240000000000002,0,,6.08,500,Medium,0
2022-11-22,4,East,148,Beverages,13,110.11000000000001,0,,8.47,544,Small,0
2022-07-11,9,South,146,Snacks,11,106.15,0,,9.65,505,Large,0
2022-03-15,7,North,149,Personal Care,15,49.8,0,,3.32,838,Small,0
2022-11-01,2,South,124,Snacks,6,54.17999999999999,0,,9.03,958,Medium,0
2022-03-16,3,North,117,Personal Care,7,60.410000000000004,0,,8.63,350,Large,0
2022-01-06,10,North,127,Dairy,10,30.9,0,,3.09,739,Medium,0
2022-05-20,1,South,121,Beverages,12,41.519999999999996,0,,3.46,522,Small,0
2022-07-08,8,East,123,Beverages,26,189.90400000000002,1,,7.304000000000001,663,Large,0
2022-12-14,1,South,121,Household,7,44.66,0,,6.38,636,Small,0
2022-10-07,7,South,130,Beverages,12,94.56,0,,7.88,824,Large,0
2022-01-06,5,North,141,Beverages,9,23.400000000000002,0,,2.6,925,Small,0
2022-08-14,5,East,116,Dairy,12,47.519999999999996,0,,3.96,957,Large,1
2022-10-06,8,North,119,Household,7,16.8,0,,2.4,501,Small,0
2022-11-17,5,East,132,Beverages,14,82.99200000000002,1,Discount,5.928000000000001,551,Medium,0
2022-11-23,2,North,128,Household,15,66.0,1,BuyOneGetOne,4.4,889,Medium,0
2022-06-10,2,North,111,Personal Care,16,57.34400000000001,1,,3.5840000000000005,330,Large,0
2022-08-26,2,North,123,Dairy,17,79.01599999999999,1,Discount,4.648,775,Large,0
2022-01-08,7,East,150,Dairy,9,81.45,0,,9.05,120,Medium,1
2022-01-19,8,South,108,Personal Care,11,58.52,0,,5.32,417,Small,0
2022-10-09,8,North,121,Snacks,13,72.93,0,,5.61,372,Small,1
2022-12-29,3,East,137,Snacks,18,33.552,1,BuyOneGetOne,1.864,772,Medium,0
2022-03-20,4,East,115,Beverages,6,43.32,0,,7.22,147,Large,1
2022-08-01,4,East,136,Dairy,5,45.85,0,,9.17,577,Small,0
2022-04-27,9,South,132,Snacks,6,44.28,0,,7.38,999,Large,0
2022-09-28,3,North,130,Household,14,71.68,0,,5.12,865,Large,0
2022-12-07,9,North,140,Snacks,9,84.60000000000001,0,,9.4,597,Large,0
2022-06-02,4,North,135,Snacks,7,55.79,0,,7.97,766,Medium,0
2022-05-14,5,North,109,Personal Care,14,69.32800000000002,1,,4.952000000000001,773,Large,1
2022-02-26,4,East,148,Dairy,11,75.78999999999999,0,,6.89,977,Large,1
2022-04-20,6,East,123,Beverages,12,74.88,0,,6.24,560,Large,0
2022-11-06,2,East,150,Dairy,22,74.80000000000001,1,Discount,3.4000000000000004,661,Large,1
2022-05-10,5,South,143,Beverages,12,106.08,0,,8.84,229,Large,0
2022-12-05,5,East,107,Personal Care,14,51.24,0,,3.66,302,Large,0
2022-04-06,1,South,139,Personal Care,5,26.65,0,,5.33,311,Small,0
2022-04-09,10,East,133,Snacks,7,57.470000000000006,0,,8.21,156,Small,1
2022-02-08,6,South,131,Personal Care,10,98.3,0,,9.83,720,Medium,0
2022-02-04,9,South,112,Dairy,7,37.59,0,,5.37,859,Small,0
2022-02-28,10,East,120,Household,13,34.112,1,Discount,2.624,680,Medium,0
2022-12-04,5,South,137,Beverages,10,33.8,0,,3.38,743,Large,1
2022-04-11,6,South,145,Snacks,10,97.30000000000001,0,,9.73,785,Medium,0
2022-10-23,5,East,120,Household,13,74.23,0,,5.71,998,Medium,1
2022-02-06,10,East,117,Snacks,15,148.5,0,,9.9,187,Large,1
2022-01-23,8,South,141,Snacks,24,129.792,1,,5.408,884,Medium,1
2022-04-28,6,South,116,Personal Care,14,101.92,0,,7.28,606,Small,0
2022-06-21,7,North,125,Dairy,6,34.32,0,,5.72,885,Small,0
2022-05-03,7,East,149,Snacks,12,71.16,0,,5.93,804,Small,0
2022-04-11,4,North,138,Personal Care,11,58.3,0,,5.3,435,Medium,0
2022-09-19,10,East,104,Household,19,130.56799999999998,1,BuyOneGetOne,6.872,116,Small,0
2022-05-08,1,South,136,Personal Care,9,23.31,0,,2.59,568,Small,1
2022-03-17,10,South,139,Personal Care,11,60.169999999999995,0,,5.47,891,Medium,0
2022-05-21,6,East,132,Beverages,17,167.96,0,,9.88,490,Large,1
2022-02-17,7,South,123,Dairy,18,96.768,1,Discount,5.376,761,Small,0
2022-09-27,2,South,149,Snacks,11,69.3,0,,6.3,928,Large,0
2022-02-24,1,South,109,Beverages,5,32.55,0,,6.51,722,Small,0
2022-05-22,1,East,147,Household,8,21.52,0,,2.69,817,Small,1
2022-10-24,2,East,133,Snacks,12,42.480000000000004,0,,3.54,909,Small,0
2022-10-28,1,North,118,Beverages,8,21.2,0,,2.65,300,Small,0
2022-05-21,6,East,127,Snacks,13,110.24000000000001,0,,8.48,907,Medium,1
2022-08-17,1,South,101,Dairy,11,24.64,0,,2.24,806,Medium,0
2022-08-28,7,East,150,Household,10,90.3,0,,9.03,887,Small,1
2022-06-28,10,North,147,Household,14,38.080000000000005,1,Discount,2.72,899,Medium,0
2022-09-30,6,East,141,Beverages,24,120.96000000000001,1,FlashSale,5.04,479,Large,0
2022-11-12,7,East,141,Beverages,7,41.44,0,,5.92,191,Large,1
2022-01-07,10,South,103,Personal Care,8,59.68,0,,7.46,636,Small,0
2022-07-26,8,South,112,Beverages,7,34.51,0,,4.93,208,Medium,0
2022-07-24,6,North,129,Household,12,109.08,0,,9.09,952,Small,1
2022-03-29,5,South,132,Household,14,130.9,0,,9.35,775,Small,0
2022-06-23,2,East,120,Household,8,21.28,0,,2.66,975,Large,0
2022-09-15,6,South,130,Snacks,10,98.0,0,,9.8,802,Large,0
2022-11-14,10,East,119,Snacks,25,74.80000000000001,1,,2.9920000000000004,210,Medium,0
2022-12-25,3,South,148,Personal Care,10,78.0,0,,7.8,560,Medium,1
2022-05-12,3,North,120,Dairy,11,83.16,0,,7.56,716,Medium,0
2022-01-29,10,North,125,Dairy,8,47.6,0,,5.95,805,Large,1
2022-12-12,5,North,150,Household,16,45.92,0,,2.87,167,Medium,0
2022-01-28,9,South,104,Personal Care,8,68.88,0,,8.61,223,Medium,0
2022-03-13,3,East,102,Personal Care,16,38.144,1,BuyOneGetOne,2.384,495,Medium,1
2022-06-03,5,South,116,Dairy,11,94.71,0,,8.61,613,Medium,0
2022-07-10,2,East,130,Dairy,17,135.184,1,,7.952,106,Large,1
2022-02-26,2,North,111,Beverages,19,72.048,1,FlashSale,3.7920000000000003,515,Large,1
2022-10-09,4,South,119,Personal Care,19,78.432,1,FlashSale,4.128,664,Small,1
2022-01-23,3,East,129,Personal Care,10,86.7,0,,8.67,737,Medium,1
2022-09-20,2,South,137,Snacks,14,55.300000000000004,0,,3.95,550,Small,0
2022-08-30,1,East,146,Snacks,17,104.44800000000001,1,BuyOneGetOne,6.144,602,Small,0
2022-04-17,3,North,149,Beverages,13,115.57000000000001,0,,8.89,490,Medium,1
2022-07-25,9,East,142,Dairy,14,39.76,1,,2.84,856,Small,0
2022-05-30,1,South,114,Beverages,10,68.1,0,,6.81,108,Large,0
2022-12-09,6,South,146,Dairy,23,72.128,1,BuyOneGetOne,3.136,162,Large,0
2022-09-10,6,South,110,Snacks,9,65.52,0,,7.28,734,Large,1
2022-05-13,7,East,117,Snacks,11,29.48,0,,2.68,642,Large,0
2022-03-23,9,North,120,Dairy,12,28.200000000000003,0,,2.35,182,Small,0
2022-11-02,7,South,140,Beverages,6,58.980000000000004,0,,9.83,261,Small,0
2022-07-24,1,North,118,Dairy,3,25.53,0,,8.51,674,Small,1
2022-05-21,10,East,135,Dairy,7,36.330000000000005,0,,5.19,119,Large,1
2022-06-24,4,North,123,Snacks,8,40.56,0,,5.07,963,Medium,0
2022-08-17,3,East,112,Dairy,11,104.28,0,,9.48,384,Small,0
2022-03-22,9,South,149,Personal Care,9,42.03,0,,4.67,410,Large,0
2022-05-04,2,East,107,Personal Care,5,33.15,0,,6.63,905,Small,0
2022-01-09,9,North,149,Household,9,89.19,0,,9.91,994,Small,1
2022-05-07,10,South,128,Dairy,4,37.6,0,,9.4,648,Large,1
2022-09-12,8,South,119,Personal Care,4,33.64,0,,8.41,459,Large,0
2022-08-27,5,East,144,Household,16,38.912000000000006,1,FlashSale,2.4320000000000004,139,Large,1
2022-09-11,8,North,142,Household,11,59.29,0,,5.39,836,Medium,1
2022-10-11,3,South,109,Personal Care,15,94.08,1,FlashSale,6.272,436,Small,0
2022-11-28,10,North,150,Household,3,19.44,0,,6.48,548,Small,0
2022-10-25,9,South,102,Snacks,10,32.2,0,,3.22,920,Small,0
2022-08-25,2,North,135,Household,12,31.200000000000003,0,,2.6,876,Small,0
2022-03-17,3,East,109,Household,10,92.4,0,,9.24,514,Small,0
2022-10-02,4,East,109,Household,27,44.064,1,Discount,1.6320000000000001,259,Large,1
2022-03-11,5,East,108,Snacks,9,67.59,0,,7.51,970,Medium,0
2022-12-13,7,South,121,Household,12,63.480000000000004,0,,5.29,396,Small,0
2022-02-06,9,South,110,Personal Care,10,71.7,0,,7.17,685,Medium,1
2022-05-05,7,East,127,Snacks,9,63.0,0,,7.0,483,Large,0
2022-12-17,10,South,133,Household,7,22.400000000000002,0,,3.2,523,Small,1
2022-09-20,6,North,131,Dairy,7,21.91,0,,3.13,339,Small,0
2022-03-11,8,South,127,Dairy,8,78.88,0,,9.86,842,Medium,0
2022-10-15,2,South,103,Beverages,13,73.58,0,,5.66,505,Medium,1
2022-11-26,6,South,137,Personal Care,17,121.85600000000002,1,BuyOneGetOne,7.168000000000001,834,Medium,1
2022-02-26,8,South,114,Dairy,10,85.1,0,,8.51,625,Medium,1
2022-01-07,8,North,115,Beverages,11,89.21,0,,8.11,972,Small,0
2022-08-23,7,North,140,Household,4,26.96,0,,6.74,618,Small,0
2022-07-27,8,North,146,Dairy,9,69.48,0,,7.72,118,Large,0
2022-05-23,9,East,142,Beverages,7,52.57,0,,7.51,333,Medium,0
2022-06-07,10,East,128,Dairy,7,46.550000000000004,0,,6.65,619,Large,0
2022-12-25,8,South,101,Snacks,17,154.53,0,,9.09,785,Large,1
2022-08-03,8,North,148,Household,29,165.648,1,Discount,5.712,710,Large,0
2022-09-06,9,North,141,Dairy,13,76.7,0,,5.9,350,Medium,0
2022-05-23,4,South,124,Beverages,9,35.28,0,,3.92,335,Small,0
2022-09-08,1,South,113,Dairy,6,41.82,0,,6.97,256,Small,0
2022-02-24,2,South,149,Snacks,13,42.016000000000005,1,FlashSale,3.232,635,Small,0
2022-04-10,2,South,121,Household,10,69.9,0,,6.99,924,Medium,1
2022-10-14,8,East,145,Household,10,71.39999999999999,0,,7.14,840,Large,0
2022-06-29,6,North,103,Personal Care,8,17.92,0,,2.24,464,Medium,0
2022-11-14,9,South,137,Dairy,8,59.04,0,,7.38,444,Medium,0
2022-09-27,7,North,117,Beverages,9,68.75999999999999,0,,7.64,343,Small,0
2022-08-05,7,East,150,Snacks,12,78.6,0,,6.55,572,Small,0
2022-04-05,5,South,121,Dairy,8,79.44,0,,9.93,227,Small,0
2022-07-09,5,East,142,Dairy,10,73.0,0,,7.3,189,Medium,1
2022-04-02,6,South,110,Household,20,41.44,1,FlashSale,2.072,605,Medium,1
2022-04-04,10,South,147,Beverages,12,87.24,0,,7.27,665,Small,0
2022-01-03,4,East,144,Personal Care,9,33.120000000000005,0,,3.68,473,Small,0
2022-02-09,1,South,125,Household,8,42.16,0,,5.27,280,Large,0
2022-01-17,1,North,108,Dairy,8,52.56,0,,6.57,900,Small,0
2022-09-10,6,South,131,Dairy,9,83.79,0,,9.31,504,Large,1
2022-08-05,6,East,150,Dairy,6,31.5,0,,5.25,123,Medium,0
2022-11-16,2,North,102,Beverages,12,118.08,0,,9.84,793,Large,0
2022-01-04,10,South,109,Personal Care,16,109.6,0,,6.85,296,Large,0
2022-05-31,7,South,133,Dairy,6,24.0,0,,4.0,429,Small,0
2022-07-09,2,North,122,Personal Care,23,106.16799999999999,1,BuyOneGetOne,4.616,910,Medium,1
2022-11-30,6,South,140,Personal Care,12,37.92,0,,3.16,908,Medium,0
2022-01-26,5,North,147,Beverages,21,148.512,1,FlashSale,7.072,957,Small,0
2022-08-04,6,East,103,Beverages,16,74.49600000000001,1,,4.656000000000001,264,Medium,0
2022-03-02,4,North,145,Dairy,9,70.74000000000001,0,,7.86,147,Medium,0
2022-04-01,1,South,139,Dairy,4,20.12,0,,5.03,250,Large,0
2022-06-28,1,East,139,Household,11,22.44,0,,2.04,982,Medium,0
2022-05-14,4,North,129,Beverages,9,34.199999999999996,0,,3.8,507,Small,1
2022-04-18,7,South,102,Household,20,117.12000000000002,1,BuyOneGetOne,5.856000000000001,278,Small,0
2022-08-08,1,North,128,Household,11,106.81,0,,9.71,420,Medium,0
2022-12-03,5,North,150,Personal Care,17,166.77,0,,9.81,494,Medium,1
2022-01-22,2,East,118,Household,20,75.68,1,,3.7840000000000007,733,Medium,1
2022-10-11,6,South,119,Household,11,90.31,0,,8.21,828,Large,0
2022-06-16,9,North,125,Dairy,10,74.80000000000001,0,,7.48,785,Large,0
2022-01-21,6,North,143,Snacks,23,92.736,1,FlashSale,4.032,409,Large,0
2022-07-23,7,East,125,Personal Care,14,40.656,1,FlashSale,2.904,638,Large,1
2022-06-23,6,East,140,Dairy,15,76.65,0,,5.11,925,Medium,0
2022-10-24,3,East,141,Beverages,16,70.4,1,FlashSale,4.4,331,Medium,0
2022-08-05,7,South,127,Beverages,25,99.00000000000001,1,Discount,3.9600000000000004,230,Small,0
2022-12-06,8,East,136,Dairy,13,90.89600000000002,1,FlashSale,6.992000000000001,470,Medium,0
2022-07-08,6,East,147,Personal Care,10,42.1,0,,4.21,978,Medium,0
2022-03-26,5,North,132,Household,13,111.92999999999999,0,,8.61,382,Large,1
2022-09-03,2,East,123,Dairy,11,79.72800000000001,1,FlashSale,7.248000000000001,765,Medium,1
2022-09-17,9,East,131,Snacks,26,194.688,1,FlashSale,7.4879999999999995,169,Small,1
2022-03-17,4,North,113,Snacks,10,23.799999999999997,0,,2.38,204,Medium,0
2022-11-14,2,South,118,Household,11,102.19,0,,9.29,789,Small,0
2022-02-13,8,East,127,Snacks,12,113.64000000000001,0,,9.47,828,Small,1
2022-11-15,1,South,144,Dairy,12,100.68,0,,8.39,760,Large,0
2022-03-07,2,East,109,Snacks,4,20.84,0,,5.21,193,Large,0
2022-03-13,7,East,120,Snacks,10,45.300000000000004,0,,4.53,944,Large,1
2022-01-17,6,North,118,Beverages,20,83.2,1,,4.16,933,Small,0
2022-09-20,4,East,102,Personal Care,8,56.16,0,,7.02,820,Large,0
2022-07-26,3,South,144,Snacks,15,62.400000000000006,1,Discount,4.16,155,Medium,0
2022-02-10,5,South,145,Snacks,10,93.69999999999999,0,,9.37,598,Small,0
2022-03-16,5,East,106,Household,5,24.65,0,,4.93,282,Medium,0
2022-05-12,2,South,110,Household,20,141.28,1,Discount,7.064,671,Small,0
2022-10-05,5,North,112,Beverages,20,99.52,1,BuyOneGetOne,4.976,468,Small,0
2022-06-16,7,East,124,Household,11,94.82,0,,8.62,379,Small,0
2022-05-17,1,East,119,Dairy,19,69.008,1,FlashSale,3.632,956,Large,0
